1-Package number	1-RPM	1-PPM	1-PWM	1-Voltage	1-Input current	1-Output current	1-ESC temperature	1-CAP temperature	1-ESC status	2-Package number	2-RPM	2-PPM	2-PWM	2-Voltage	2-Input current	2-Output current	2-ESC temperature	2-CAP temperature	2-ESC status	3-Package number	3-RPM	3-PPM	3-PWM	3-Voltage	3-Input current	3-Output current	3-ESC temperature	3-CAP temperature	3-ESC status	4-Package number	4-RPM	4-PPM	4-PWM	4-Voltage	4-Input current	4-Output current	4-ESC temperature	4-CAP temperature	4-ESC status	5-Package number	5-RPM	5-PPM	5-PWM	5-Voltage	5-Input current	5-Output current	5-ESC temperature	5-CAP temperature	5-ESC status	6-Package number	6-RPM	6-PPM	6-PWM	6-Voltage	6-Input current	6-Output current	6-ESC temperature	6-CAP temperature	6-ESC status	7-Package number	7-RPM	7-PPM	7-PWM	7-Voltage	7-Input current	7-Output current	7-ESC temperature	7-CAP temperature	7-ESC status	8-Package number	8-RPM	8-PPM	8-PWM	8-Voltage	8-Input current	8-Output current	8-ESC temperature	8-CAP temperature	8-ESC status	
3	0	0	0	52	0	0	28	28	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	
3	0	0	0	52	0	0	28	28	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	
1	0	0	0	52	0	0	28	28	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	
1	0	0	0	52	0	0	28	28	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	
1	0	0	0	52	0	0	28	28	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	
1	0	0	0	52	0	0	28	28	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	
1	0	0	0	52	0	0	28	28	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	
1	0	0	0	52	0	0	28	28	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	
1	0	0	0	52	0	0	28	28	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	
2	0	0	0	52	0	0	28	28	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	
2	0	0	0	52	0	0	28	28	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	
2	0	0	0	52	0	0	28	28	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	0	0	0	0	0	0	0	128	128	0	
2	0	0	0	52	0	0	28	28	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	
2	0	0	0	52	0	0	28	28	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	
2	0	0	0	52	0	0	28	28	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	
2	0	0	0	52	0	0	28	28	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	
3	0	0	0	52	0	0	28	28	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	
3	0	0	0	52	0	0	28	28	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	
3	0	0	0	52	0	0	28	28	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	
3	0	0	0	52	0	0	28	28	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	
3	0	0	0	52	0	0	28	28	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	
3	0	0	0	52	0	0	28	28	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	
3	0	0	0	52	0	0	28	28	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	
3	0	0	0	52	0	0	28	28	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	
4	0	0	0	52	0	0	28	28	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	
4	0	0	0	52	0	0	28	28	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	
4	0	0	0	52	0	0	28	28	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	
4	0	0	0	52	0	0	28	28	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	
4	0	0	0	52	0	0	28	28	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	
4	0	0	0	52	0	0	28	28	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	
4	0	0	0	52	0	0	28	28	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	1	0	0	0	0	0	0	128	128	0	
